File,Line,Confidence,Reason,HasWidthHeight,Src,ImgOpenTag,Notes
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,3689,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839,"<img class=""mob-past-deliv-testim-thumb"" src=""/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839"" alt=""View Testimonial"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,3728,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839,"<img class=""mob-past-deliv-testim-thumb"" src=""/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839"" alt=""View Testimonial"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,3774,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839,"<img class=""mob-past-deliv-testim-thumb"" src=""/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839"" alt=""View Testimonial"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,657,High,missing-loading,FALSE,/assets/pilot-directory/amflag.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/amflag.jpg?v=20250907-192839"" alt=""US Flag"" style=""width: 50px; vertical-align: middle;"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,251,High,missing-loading,FALSE,/assets/pilot-directory/atp.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/atp.jpg?v=20250907-192839"" alt=""ATP"" class=""desk-pilot-dir-pilot-license"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,322,High,missing-loading,FALSE,/assets/pilot-directory/atp.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/atp.jpg?v=20250907-192839"" alt=""ATP"" class=""desk-pilot-dir-pilot-license"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,334,High,missing-loading,FALSE,/assets/pilot-directory/atp.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/atp.jpg?v=20250907-192839"" alt=""ATP"" class=""desk-pilot-dir-pilot-license"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,264,High,missing-loading,FALSE,/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839"" alt=""ATP-CFI"" class=""desk-pilot-dir-atp-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,279,High,missing-loading,FALSE,/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839"" alt=""ATP-CFI"" class=""desk-pilot-dir-atp-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,295,High,missing-loading,FALSE,/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839"" alt=""ATP-CFI"" class=""desk-pilot-dir-atp-cfi"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\pilot-directory.html,351,High,missing-loading,FALSE,/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839,"<img src=""/assets/pilot-directory/atp-cfi.jpg?v=20250907-192839"" alt=""ATP-CFI"" class=""desk-pilot-dir-atp-cfi"">",no width/height
